Risk_Category,Issue_Type,Ward,City,State,Date,Year,Month,Day_of_Week,Risk_Level,Area_Type,Event_Type,Season,Complaint_Count,Population_Affected,Latitude,Longitude,Complaint_adj,Log_Complaint,Complaint_Per_1000,Pop_log,Day_num,Is_Weekend,Season_num,Quarter,Week_of_Year,Is_Festival,Is_Tourist,Month_sin,Month_cos,C_x_Season,C_x_Weekend,C_x_Festival,C_x_Tourist,Pop_x_C,C_x_Month,C_x_Quarter,C_x_Lat,C_x_Year,Year_norm,Lat_x_Lon,Pop_density,Risk_Category_enc,Issue_Type_enc,Ward_enc,City_enc,State_enc,Area_Type_enc,Event_Type_enc,Risk_Level_enc
Tourist Season Sanitation Risk,Solid Waste,Ward_5,Thiruvananthapuram,Kerala,2018-12-28,2018,12,Friday,Medium,Tourist,Festival,Monsoon,227.0,278247.0,8.5241,76.9366,219.0,5.393627546352361,0.7871,12.536268081331189,4,0,1,4,52,1,1,-2.4492935982947064e-16,1.0,219.0,0.0,219.0,219.0,67.61596085192575,2628.0,876.0,1866.7779,657.0,3,655.81527206,1264.759090909091,3,3,44,15,5,5,0,3
Tourist Season Sanitation Risk,Sanitation,Ward_21,Indore,Madhya Pradesh,2016-09-01,2016,9,Thursday,Medium,Commercial,Public Event,Summer,245.0,79324.0,22.7196,75.8577,256.9,5.552571912887299,3.2386,11.281308616451396,3,0,0,3,35,1,0,-1.0,-1.8369701987210294e-16,0.0,0.0,256.9,0.0,62.64027736432149,2312.1,770.6999999999999,5836.665239999999,256.9,1,1723.4566009199998,307.57658006979455,3,2,13,5,6,0,2,3
Public Event & Gathering Risk,Sanitation,Ward_29,Kolkata,West Bengal,2018-01-20,2018,1,Saturday,Critical,Event Ground,Public Event,Winter,522.0,679497.0,22.5726,88.3639,519.9,6.255558084751145,0.7651,13.429109569228311,5,1,2,1,3,1,1,0.4999999999999999,0.8660254037844387,1039.8,519.9,519.9,519.9,84.00657493679515,519.9,519.9,11735.49474,1559.6999999999998,3,1994.60296914,1304.4672681896718,1,2,21,8,12,1,2,0
Tourist Season Sanitation Risk,Solid Waste,Ward_10,Indore,Madhya Pradesh,2023-01-23,2023,1,Monday,High,Commercial,Tourist,Monsoon,382.0,383531.0,22.7196,75.8577,372.9,5.923988381983068,0.9723,12.857178338290106,0,0,1,1,4,1,1,0.4999999999999999,0.8660254037844387,372.9,0.0,372.9,372.9,76.16577510111496,372.9,372.9,8472.13884,2983.2,8,1723.4566009199998,1025.7582241240975,3,3,1,5,6,0,3,1
Summer Water Service Risk,Water Supply,Ward_16,Thiruvananthapuram,Kerala,2024-09-30,2024,9,Monday,High,Temple,Tourist,Monsoon,298.0,157980.0,8.5241,76.9366,304.4,5.721622392784532,1.9268,11.970230051613555,0,0,1,3,40,1,0,-1.0,-1.8369701987210294e-16,304.4,0.0,304.4,0.0,68.48913631009447,2739.6,913.2,2594.73604,2739.6,9,655.81527206,517.2888015717093,2,5,7,15,5,4,3,1
Festival Crowd Waste Risk,Sanitation,Ward_11,Pune,Maharashtra,2023-09-28,2023,9,Thursday,Low,Market,Tourist,Winter,30.0,341479.0,18.5204,73.8567,19.2,3.005682604407159,0.0562,12.741044391124245,3,0,2,3,39,1,0,-1.0,-1.8369701987210294e-16,38.4,0.0,19.2,0.0,38.29553548838154,172.79999999999998,57.6,355.59167999999994,153.6,8,1367.85562668,16904.90099009901,0,2,2,13,7,2,3,2
Summer Water Service Risk,Water Supply,Ward_16,Ahmedabad,Gujarat,2016-11-11,2016,11,Friday,Critical,Tourist,Festival,Summer,520.0,83875.0,23.0225,72.5714,520.3,6.25632569177406,6.2033,11.337094796706635,4,0,0,4,45,1,1,-0.5000000000000004,0.8660254037844384,0.0,0.0,520.3,520.3,70.92855744671374,5723.299999999999,2081.2,11978.60675,520.3,1,1670.7750565,160.89583732975257,2,5,7,0,2,5,0,0
Summer Water Service Risk,Water Supply,Ward_32,Mumbai,Maharashtra,2023-08-20,2023,8,Sunday,Low,Residential,Tourist,Monsoon,75.0,85165.0,19.076,72.8777,74.9,4.329416684401584,0.8795,11.3523575721385,6,1,1,3,33,1,0,-0.8660254037844384,-0.5000000000000004,74.9,74.9,74.9,0.0,49.14908628010908,599.2,224.7,1428.7924,599.2,8,1390.2150052000002,1122.068511198946,2,5,25,9,7,3,3,2
Summer Water Service Risk,Crowd Management,Ward_19,Pathanamthitta,Kerala,2020-09-14,2020,9,Monday,Medium,Temple,No_Event,Summer,259.0,679271.0,9.2648,76.787,272.0,5.60947179518496,0.4004,13.42877691542806,0,0,0,3,38,1,0,-1.0,-1.8369701987210294e-16,0.0,0.0,272.0,0.0,75.32834535092458,2448.0,816.0,2520.0256,1360.0,5,711.4161976,2488.1721611721614,2,0,10,11,5,4,1,3
Festival Crowd Waste Risk,Crowd Management,Ward_41,Panaji,Goa,2024-03-08,2024,3,Friday,Critical,Temple,Public Event,Summer,453.0,276103.0,15.4909,73.8278,458.7,6.130574102812182,1.6613,12.52853288531783,4,0,0,1,10,1,1,1.0,6.123233995736766e-17,0.0,0.0,458.7,458.7,76.80709925296027,1376.1,458.7,7105.67583,4128.3,9,1143.6590670199998,600.6156188818795,0,0,35,10,1,4,2,0
Weekend Market Congestion Risk,Crowd Management,Ward_9,Kolkata,West Bengal,2023-10-14,2023,10,Saturday,High,Market,Festival,Summer,350.0,231609.0,22.5726,88.3639,349.7,5.859931157146132,1.5099,12.352810201641756,5,1,0,4,41,1,0,-0.8660254037844386,0.5000000000000001,0.0,349.7,349.7,0.0,72.38661737891313,3497.0,1398.8,7893.63822,2797.6,8,1994.60296914,660.4191616766467,4,0,49,8,12,2,0,1
Festival Crowd Waste Risk,Public Safety,Ward_30,Panaji,Goa,2024-01-09,2024,1,Tuesday,Critical,Temple,Festival,Monsoon,424.0,356074.0,15.4909,73.8278,433.8,6.074886155247055,1.2183,12.782896661802788,1,0,1,1,2,1,1,0.4999999999999999,0.8660254037844387,433.8,0.0,433.8,433.8,77.65464195473955,433.8,433.8,6719.9524200000005,3904.2,9,1143.6590670199998,818.9374425022999,0,1,23,10,1,4,0,0
Weekend Market Congestion Risk,Public Safety,Ward_23,Prayagraj,Uttar Pradesh,2024-07-07,2024,7,Sunday,Critical,Tourist,No_Event,Monsoon,432.0,355741.0,25.4358,81.8463,448.7,6.108580693776662,1.2613,12.781961027997207,6,1,1,3,27,0,0,-0.4999999999999997,-0.8660254037844388,448.7,448.7,0.0,0.0,78.07964036422945,3140.9,1346.1,11413.04346,4038.3,9,2081.82611754,791.0629308427841,4,1,15,12,11,5,1,0
Weekend Market Congestion Risk,Crowd Management,Ward_20,Shimla,Himachal Pradesh,2019-05-27,2019,5,Monday,Critical,Tourist,Weekend,Winter,447.0,127662.0,31.1048,77.1734,453.7,6.119637860830965,3.5539,11.757149258455597,0,0,2,2,22,0,0,0.4999999999999999,-0.8660254037844387,907.4,0.0,0.0,0.0,71.94949573748556,2268.5,907.4,14112.24776,1814.8,4,2400.46317232,280.7609412799648,4,0,12,14,3,5,4,0
Summer Water Service Risk,Crowd Management,Ward_18,Indore,Madhya Pradesh,2021-04-24,2021,4,Saturday,High,Residential,No_Event,Winter,327.0,389801.0,22.7196,75.8577,327.1,5.793318439967056,0.8391,12.873394196878762,5,1,2,2,16,0,0,0.8660254037844387,-0.4999999999999998,654.2,327.1,0.0,0.0,74.57967198574262,1308.4,654.2,7431.581160000001,1962.6,6,1723.4566009199998,1188.0554708930204,2,0,9,5,6,3,1,1
