,SHAP_Value
Complaint_adj,2.250036
Log_Complaint,0.33968857
C_x_Quarter,0.27840874
Complaint_Per_1000,0.19900326
Pop_density,0.19132434
C_x_Festival,0.17309691
Pop_x_C,0.16049059
C_x_Season,0.13715954
C_x_Lat,0.12865245
Ward_enc,0.12823366
C_x_Month,0.11648103
Longitude,0.07847063
State_enc,0.07544444
C_x_Tourist,0.07165159
Year,0.051663037
C_x_Year,0.049627826
Event_Type_enc,0.046390396
Day_num,0.045863293
Issue_Type_enc,0.04051321
Population_Affected,0.037207704
City_enc,0.036700204
Week_of_Year,0.03631682
Month_cos,0.035206437
Latitude,0.033371836
Season_num,0.032575224
Month_sin,0.02607639
Risk_Category_enc,0.025595093
C_x_Weekend,0.02298897
Area_Type_enc,0.019835534
Month,0.018131036
Year_norm,0.009790097
Is_Tourist,0.008272732
Pop_log,0.0053598396
Lat_x_Lon,0.005266555
Is_Festival,0.0014615376
Is_Weekend,0.0
Quarter,0.0
